time,sc_0,sc_1,sc_2,sc_3,sc_4,sc_5,sc_6,sc_7,sc_8,sc_9,sc_10,sc_11,sc_12,sc_13,sc_14,sc_15,sc_16,sc_17,sc_18,sc_19,sc_20,sc_21,sc_22,sc_23,sc_24,sc_25,sc_26,sc_27,sc_28,sc_29,sc_30,sc_31,sc_32,sc_33,sc_34,sc_35,sc_36,sc_37,sc_38,sc_39,sc_40,sc_41,sc_42,sc_43,sc_44,sc_45,sc_46,sc_47,sc_48,sc_49,sc_50,sc_51,sc_52,sc_53,sc_54,sc_55,sc_56,sc_57,sc_58,sc_59,sc_60,sc_61,sc_62,sc_63
0.0,122.0,-96.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,8.0,-1.0,8.0,-1.0,7.0,-1.0,6.0,-1.0,6.0,-1.0,6.0,-1.0,6.0,-1.0,5.0,-1.0,5.0,-1.0,4.0,-1.0,4.0,-1.0,4.0,-2.0,3.0,-2.0,2.0,-2.0,3.0,-2.0,2.0,-3.0,1.0,-3.0,2.0,-3.0,2.0,-4.0,1.0,-4.0,1.0,-5.0,1.0,-5.0,1.0,-6.0,0.0,-6.0,0.0,-7.0,0.0
0.021,122.0,-96.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,-32.0,-4.0,-28.0,-3.0,-25.0,-3.0,-20.0,-5.0,-14.0,-8.0,-10.0,-11.0,-5.0,-14.0,-1.0,-18.0,3.0,-23.0,6.0,-26.0,8.0,-30.0,8.0,-33.0,7.0,-34.0,6.0,-34.0,4.0,-32.0,2.0,-31.0,2.0,-27.0,1.0,-23.0,1.0,-18.0,1.0,-13.0,3.0,-8.0,6.0,-3.0,9.0,1.0,13.0,3.0,16.0,5.0,20.0
0.0328,122.0,-96.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,4.0,9.0,7.0,5.0,10.0,3.0,15.0,1.0,19.0,0.0,23.0,0.0,26.0,0.0,27.0,2.0,30.0,3.0,29.0,4.0,27.0,6.0,25.0,7.0,23.0,7.0,19.0,6.0,15.0,5.0,12.0,2.0,9.0,-2.0,6.0,-6.0,4.0,-10.0,3.0,-15.0,4.0,-18.0,4.0,-22.0,6.0,-25.0,6.0,-27.0,7.0,-27.0
0.1161,122.0,-96.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,6.0,4.0,6.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,-1.0,2.0,-1.0,2.0,-1.0,2.0,-2.0,2.0,-2.0,3.0,-2.0,2.0,-2.0,4.0,-3.0,4.0,-4.0,4.0
0.137,122.0,-96.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,4.0,28.0,7.0,34.0,6.0,38.0,5.0,42.0,5.0,43.0,4.0,43.0,2.0,41.0,0.0,37.0,-1.0,32.0,0.0,30.0,1.0,22.0,4.0,15.0,8.0,8.0,12.0,2.0,16.0,-2.0,22.0,-5.0,28.0,-8.0,31.0,-10.0,35.0,-11.0,38.0,-10.0,39.0,-8.0,39.0,-5.0,37.0,-4.0,32.0,-3.0,30.0,-3.0
0.1501,122.0,-96.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,-2.0,14.0,-3.0,16.0,-3.0,19.0,-4.0,20.0,-4.0,21.0,-4.0,21.0,-3.0,21.0,-2.0,19.0,-1.0,17.0,0.0,14.0,-1.0,10.0,-2.0,7.0,-3.0,4.0,-4.0,1.0,-7.0,-1.0,-9.0,-4.0,-12.0,-6.0,-15.0,-6.0,-17.0,-6.0,-19.0,-6.0,-20.0,-5.0,-21.0,-5.0,-21.0,-3.0,-20.0,-3.0,-18.0,-3.0,-16.0
0.1855,122.0,-96.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,12.0,-11.0,18.0,-11.0,20.0,-13.0,24.0,-14.0,25.0,-17.0,27.0,-17.0,25.0,-18.0,24.0,-17.0,21.0,-14.0,18.0,-13.0,16.0,-10.0,13.0,-5.0,9.0,0.0,7.0,5.0,6.0,9.0,6.0,15.0,6.0,19.0,8.0,22.0,8.0,23.0,9.0,25.0,11.0,25.0,12.0,25.0,12.0,22.0,13.0,20.0,12.0,19.0,11.0
0.1984,122.0,-96.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0,-8.0,-7.0,-4.0,-7.0,-1.0,-8.0,3.0,-11.0,6.0,-12.0,8.0,-14.0,10.0,-16.0,11.0,-18.0,11.0,-20.0,10.0,-19.0,10.0,-19.0,8.0,-18.0,7.0,-16.0,5.0,-13.0,4.0,-11.0,4.0,-7.0,4.0,-3.0,5.0,0.0,5.0,3.0,7.0,6.0,10.0,7.0,12.0,10.0,14.0,9.0,16.0,9.0,17.0,9.0,17.0
0.2502,122.0,-96.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.0,16.0,-7.0,22.0,-6.0,27.0,-8.0,29.0,-9.0,32.0,-11.0,34.0,-12.0,33.0,-13.0,31.0,-12.0,28.0,-12.0,24.0,-11.0,22.0,-8.0,17.0,-4.0,12.0,1.0,9.0,7.0,6.0,11.0,5.0,16.0,4.0,22.0,4.0,26.0,4.0,29.0,3.0,31.0,5.0,32.0,7.0,32.0,8.0,28.0,10.0,26.0,9.0,23.0,9.0
0.286,122.0,-96.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.0,-34.0,-17.0,-32.0,-14.0,-29.0,-13.0,-22.0,-12.0,-15.0,-12.0,-9.0,-14.0,-2.0,-15.0,6.0,-19.0,12.0,-23.0,17.0,-25.0,23.0,-29.0,24.0,-33.0,25.0,-34.0,23.0,-37.0,22.0,-35.0,20.0,-34.0,18.0,-29.0,15.0,-25.0,12.0,-19.0,9.0,-13.0,9.0,-5.0,10.0,2.0,11.0,8.0,13.0,13.0,16.0,18.0,19.0
